lambda_smote,lambda_ctgan,lambda_adasyn,weights,accuracy,precision,recall,f1
0.15000000000000002,0.0,0.85,"(0.15000000000000002, 0.0, 0.85)",0.85,0.8626943005181347,0.8325,0.8473282442748091
0.15000000000000002,0.05,0.7999999999999999,"(0.15000000000000002, 0.05, 0.7999999999999999)",0.85,0.8589743589743589,0.8375,0.8481012658227848
0.15000000000000002,0.1,0.75,"(0.15000000000000002, 0.1, 0.75)",0.85375,0.8582278481012658,0.8475,0.8528301886792453
0.15000000000000002,0.15000000000000002,0.7,"(0.15000000000000002, 0.15000000000000002, 0.7)",0.8475,0.8638743455497382,0.825,0.8439897698209717
0.15000000000000002,0.2,0.6499999999999999,"(0.15000000000000002, 0.2, 0.6499999999999999)",0.85625,0.8518518518518519,0.8625,0.8571428571428572
0.15000000000000002,0.25,0.6,"(0.15000000000000002, 0.25, 0.6)",0.855,0.8678756476683938,0.8375,0.8524173027989823
0.15000000000000002,0.30000000000000004,0.5499999999999999,"(0.15000000000000002, 0.30000000000000004, 0.5499999999999999)",0.8525,0.8615384615384616,0.84,0.8506329113924052
0.15000000000000002,0.35000000000000003,0.49999999999999994,"(0.15000000000000002, 0.35000000000000003, 0.49999999999999994)",0.86,0.8730569948186528,0.8425,0.8575063613231553
0.15000000000000002,0.4,0.44999999999999996,"(0.15000000000000002, 0.4, 0.44999999999999996)",0.87,0.8756345177664975,0.8625,0.8690176322418136
0.15000000000000002,0.45,0.39999999999999997,"(0.15000000000000002, 0.45, 0.39999999999999997)",0.87,0.8854166666666666,0.85,0.8673469387755102
0.15000000000000002,0.5,0.35,"(0.15000000000000002, 0.5, 0.35)",0.84125,0.837037037037037,0.8475,0.8422360248447205
0.15000000000000002,0.55,0.29999999999999993,"(0.15000000000000002, 0.55, 0.29999999999999993)",0.84,0.8636363636363636,0.8075,0.834625322997416
0.15000000000000002,0.6000000000000001,0.2499999999999999,"(0.15000000000000002, 0.6000000000000001, 0.2499999999999999)",0.86375,0.8740359897172236,0.85,0.8618504435994931
0.15000000000000002,0.65,0.19999999999999996,"(0.15000000000000002, 0.65, 0.19999999999999996)",0.85,0.8645833333333334,0.83,0.8469387755102041
0.15000000000000002,0.7000000000000001,0.1499999999999999,"(0.15000000000000002, 0.7000000000000001, 0.1499999999999999)",0.8525,0.8671875,0.8325,0.8494897959183674
0.15000000000000002,0.75,0.09999999999999998,"(0.15000000000000002, 0.75, 0.09999999999999998)",0.85375,0.8753315649867374,0.825,0.8494208494208494
0.15000000000000002,0.8,0.04999999999999993,"(0.15000000000000002, 0.8, 0.04999999999999993)",0.84875,0.8780487804878049,0.81,0.8426527958387517
0.15000000000000002,0.8500000000000001,-1.1102230246251565e-16,"(0.15000000000000002, 0.8500000000000001, -1.1102230246251565e-16)",0.84875,0.8951841359773371,0.79,0.8393094289508632
0.2,0.0,0.8,"(0.2, 0.0, 0.8)",0.85125,0.8649350649350649,0.8325,0.8484076433121019
0.2,0.05,0.75,"(0.2, 0.05, 0.75)",0.855,0.8604060913705583,0.8475,0.853904282115869
0.2,0.1,0.7000000000000001,"(0.2, 0.1, 0.7000000000000001)",0.85375,0.8528678304239401,0.855,0.8539325842696629
0.2,0.15000000000000002,0.65,"(0.2, 0.15000000000000002, 0.65)",0.84625,0.8488664987405542,0.8425,0.8456712672521958
0.2,0.2,0.6000000000000001,"(0.2, 0.2, 0.6000000000000001)",0.85125,0.8630490956072352,0.835,0.8487928843710293
0.2,0.25,0.55,"(0.2, 0.25, 0.55)",0.855,0.855,0.855,0.855
0.2,0.30000000000000004,0.5,"(0.2, 0.30000000000000004, 0.5)",0.8575,0.8704663212435233,0.84,0.8549618320610687
0.2,0.35000000000000003,0.45,"(0.2, 0.35000000000000003, 0.45)",0.8475,0.8545918367346939,0.8375,0.8459595959595959
0.2,0.4,0.4,"(0.2, 0.4, 0.4)",0.8725,0.884020618556701,0.8575,0.8705583756345179
0.2,0.45,0.35000000000000003,"(0.2, 0.45, 0.35000000000000003)",0.85,0.8645833333333334,0.83,0.8469387755102041
0.2,0.5,0.30000000000000004,"(0.2, 0.5, 0.30000000000000004)",0.86125,0.8812664907651715,0.835,0.8575096277278561
0.2,0.55,0.25,"(0.2, 0.55, 0.25)",0.84875,0.8623376623376623,0.83,0.8458598726114649
0.2,0.6000000000000001,0.19999999999999996,"(0.2, 0.6000000000000001, 0.19999999999999996)",0.8575,0.8723958333333334,0.8375,0.854591836734694
0.2,0.65,0.15000000000000002,"(0.2, 0.65, 0.15000000000000002)",0.83375,0.8503937007874016,0.81,0.8297055057618439
0.2,0.7000000000000001,0.09999999999999998,"(0.2, 0.7000000000000001, 0.09999999999999998)",0.85125,0.8726790450928382,0.8225,0.8468468468468467
0.2,0.75,0.050000000000000044,"(0.2, 0.75, 0.050000000000000044)",0.85125,0.8935574229691877,0.7975,0.8428005284015851
0.2,0.8,0.0,"(0.2, 0.8, 0.0)",0.84875,0.876010781671159,0.8125,0.8430609597924773
0.25,0.0,0.75,"(0.25, 0.0, 0.75)",0.8425,0.8586387434554974,0.82,0.8388746803069053
0.25,0.05,0.7,"(0.25, 0.05, 0.7)",0.84375,0.8446115288220551,0.8425,0.8435544430538172
0.25,0.1,0.65,"(0.25, 0.1, 0.65)",0.8525,0.8652849740932642,0.835,0.8498727735368956
0.25,0.15000000000000002,0.6,"(0.25, 0.15000000000000002, 0.6)",0.84625,0.8597402597402597,0.8275,0.8433121019108281
0.25,0.2,0.55,"(0.25, 0.2, 0.55)",0.845,0.8612565445026178,0.8225,0.8414322250639386
0.25,0.25,0.5,"(0.25, 0.25, 0.5)",0.84625,0.8597402597402597,0.8275,0.8433121019108281
0.25,0.30000000000000004,0.44999999999999996,"(0.25, 0.30000000000000004, 0.44999999999999996)",0.85625,0.8644501278772379,0.845,0.854614412136536
0.25,0.35000000000000003,0.39999999999999997,"(0.25, 0.35000000000000003, 0.39999999999999997)",0.86,0.8769633507853403,0.8375,0.8567774936061381
0.25,0.4,0.35,"(0.25, 0.4, 0.35)",0.84625,0.8560411311053985,0.8325,0.8441064638783271
0.25,0.45,0.3,"(0.25, 0.45, 0.3)",0.86,0.8789473684210526,0.835,0.8564102564102565
0.25,0.5,0.25,"(0.25, 0.5, 0.25)",0.8525,0.8596938775510204,0.8425,0.851010101010101
0.25,0.55,0.19999999999999996,"(0.25, 0.55, 0.19999999999999996)",0.865,0.8782383419689119,0.8475,0.8625954198473282
0.25,0.6000000000000001,0.1499999999999999,"(0.25, 0.6000000000000001, 0.1499999999999999)",0.85125,0.8668407310704961,0.83,0.8480204342273308
0.25,0.65,0.09999999999999998,"(0.25, 0.65, 0.09999999999999998)",0.85625,0.8701298701298701,0.8375,0.8535031847133757
0.25,0.7000000000000001,0.04999999999999993,"(0.25, 0.7000000000000001, 0.04999999999999993)",0.84,0.8675675675675676,0.8025,0.8337662337662337
0.25,0.75,0.0,"(0.25, 0.75, 0.0)",0.84875,0.8739946380697051,0.815,0.8434670116429495
0.30000000000000004,0.0,0.7,"(0.30000000000000004, 0.0, 0.7)",0.8525,0.8652849740932642,0.835,0.8498727735368956
0.30000000000000004,0.05,0.6499999999999999,"(0.30000000000000004, 0.05, 0.6499999999999999)",0.8675,0.8788659793814433,0.8525,0.8654822335025381
0.30000000000000004,0.1,0.6,"(0.30000000000000004, 0.1, 0.6)",0.85125,0.853904282115869,0.8475,0.8506900878293601
0.30000000000000004,0.15000000000000002,0.5499999999999999,"(0.30000000000000004, 0.15000000000000002, 0.5499999999999999)",0.85625,0.8682170542635659,0.84,0.8538754764930113
0.30000000000000004,0.2,0.49999999999999994,"(0.30000000000000004, 0.2, 0.49999999999999994)",0.855,0.8697916666666666,0.835,0.8520408163265306
0.30000000000000004,0.25,0.44999999999999996,"(0.30000000000000004, 0.25, 0.44999999999999996)",0.845,0.8575129533678757,0.8275,0.8422391857506362
0.30000000000000004,0.30000000000000004,0.3999999999999999,"(0.30000000000000004, 0.30000000000000004, 0.3999999999999999)",0.85375,0.8637532133676092,0.84,0.8517110266159695
0.30000000000000004,0.35000000000000003,0.3499999999999999,"(0.30000000000000004, 0.35000000000000003, 0.3499999999999999)",0.85,0.8589743589743589,0.8375,0.8481012658227848
0.30000000000000004,0.4,0.29999999999999993,"(0.30000000000000004, 0.4, 0.29999999999999993)",0.8525,0.8652849740932642,0.835,0.8498727735368956
0.30000000000000004,0.45,0.24999999999999994,"(0.30000000000000004, 0.45, 0.24999999999999994)",0.8525,0.8652849740932642,0.835,0.8498727735368956
0.30000000000000004,0.5,0.19999999999999996,"(0.30000000000000004, 0.5, 0.19999999999999996)",0.84375,0.8647214854111406,0.815,0.8391248391248392
0.30000000000000004,0.55,0.1499999999999999,"(0.30000000000000004, 0.55, 0.1499999999999999)",0.86375,0.8900804289544236,0.83,0.8589909443725744
0.30000000000000004,0.6000000000000001,0.09999999999999987,"(0.30000000000000004, 0.6000000000000001, 0.09999999999999987)",0.85125,0.8630490956072352,0.835,0.8487928843710293
0.30000000000000004,0.65,0.04999999999999993,"(0.30000000000000004, 0.65, 0.04999999999999993)",0.875,0.8846153846153846,0.8625,0.8734177215189874
0.30000000000000004,0.7000000000000001,-1.1102230246251565e-16,"(0.30000000000000004, 0.7000000000000001, -1.1102230246251565e-16)",0.84,0.8617021276595744,0.81,0.8350515463917526
0.35000000000000003,0.0,0.6499999999999999,"(0.35000000000000003, 0.0, 0.6499999999999999)",0.85,0.8571428571428571,0.84,0.8484848484848485
0.35000000000000003,0.05,0.5999999999999999,"(0.35000000000000003, 0.05, 0.5999999999999999)",0.8525,0.8578680203045685,0.845,0.8513853904282116
0.35000000000000003,0.1,0.5499999999999999,"(0.35000000000000003, 0.1, 0.5499999999999999)",0.84625,0.8578811369509044,0.83,0.843710292249047
0.35000000000000003,0.15000000000000002,0.4999999999999999,"(0.35000000000000003, 0.15000000000000002, 0.4999999999999999)",0.84375,0.8571428571428571,0.825,0.8407643312101911
0.35000000000000003,0.2,0.4499999999999999,"(0.35000000000000003, 0.2, 0.4499999999999999)",0.86,0.8692307692307693,0.8475,0.8582278481012657
0.35000000000000003,0.25,0.3999999999999999,"(0.35000000000000003, 0.25, 0.3999999999999999)",0.84375,0.8571428571428571,0.825,0.8407643312101911
0.35000000000000003,0.30000000000000004,0.34999999999999987,"(0.35000000000000003, 0.30000000000000004, 0.34999999999999987)",0.84375,0.8516624040920716,0.8325,0.8419721871049306
0.35000000000000003,0.35000000000000003,0.2999999999999999,"(0.35000000000000003, 0.35000000000000003, 0.2999999999999999)",0.84625,0.8654353562005277,0.82,0.8421052631578947
0.35000000000000003,0.4,0.2499999999999999,"(0.35000000000000003, 0.4, 0.2499999999999999)",0.84625,0.8542199488491049,0.835,0.8445006321112516
0.35000000000000003,0.45,0.1999999999999999,"(0.35000000000000003, 0.45, 0.1999999999999999)",0.86125,0.8733850129198967,0.845,0.8589580686149936
0.35000000000000003,0.5,0.1499999999999999,"(0.35000000000000003, 0.5, 0.1499999999999999)",0.86,0.8730569948186528,0.8425,0.8575063613231553
0.35000000000000003,0.55,0.09999999999999987,"(0.35000000000000003, 0.55, 0.09999999999999987)",0.85125,0.868766404199475,0.8275,0.8476312419974391
0.35000000000000003,0.6000000000000001,0.04999999999999982,"(0.35000000000000003, 0.6000000000000001, 0.04999999999999982)",0.85625,0.8759894459102903,0.83,0.8523748395378691
0.35000000000000003,0.65,-1.1102230246251565e-16,"(0.35000000000000003, 0.65, -1.1102230246251565e-16)",0.84375,0.8666666666666667,0.8125,0.8387096774193549
0.4,0.0,0.6,"(0.4, 0.0, 0.6)",0.8425,0.8567708333333334,0.8225,0.8392857142857143
0.4,0.05,0.5499999999999999,"(0.4, 0.05, 0.5499999999999999)",0.86375,0.8646616541353384,0.8625,0.8635794743429286
0.4,0.1,0.5,"(0.4, 0.1, 0.5)",0.86,0.8730569948186528,0.8425,0.8575063613231553
0.4,0.15000000000000002,0.44999999999999996,"(0.4, 0.15000000000000002, 0.44999999999999996)",0.84625,0.863517060367454,0.8225,0.8425096030729833
0.4,0.2,0.39999999999999997,"(0.4, 0.2, 0.39999999999999997)",0.85625,0.8759894459102903,0.83,0.8523748395378691
0.4,0.25,0.35,"(0.4, 0.25, 0.35)",0.85875,0.8727272727272727,0.84,0.8560509554140127
0.4,0.30000000000000004,0.29999999999999993,"(0.4, 0.30000000000000004, 0.29999999999999993)",0.84875,0.8567774936061381,0.8375,0.8470290771175726
0.4,0.35000000000000003,0.24999999999999994,"(0.4, 0.35000000000000003, 0.24999999999999994)",0.85875,0.8651399491094147,0.85,0.8575031525851198
0.4,0.4,0.19999999999999996,"(0.4, 0.4, 0.19999999999999996)",0.85875,0.8766404199475065,0.835,0.8553137003841228
0.4,0.45,0.14999999999999997,"(0.4, 0.45, 0.14999999999999997)",0.855,0.8717277486910995,0.8325,0.8516624040920717
0.4,0.5,0.09999999999999998,"(0.4, 0.5, 0.09999999999999998)",0.8625,0.8737113402061856,0.8475,0.8604060913705583
0.4,0.55,0.04999999999999993,"(0.4, 0.55, 0.04999999999999993)",0.86375,0.8779220779220779,0.845,0.8611464968152867
0.4,0.6000000000000001,-1.1102230246251565e-16,"(0.4, 0.6000000000000001, -1.1102230246251565e-16)",0.86625,0.884514435695538,0.8425,0.8629961587708067
0.45,0.0,0.55,"(0.45, 0.0, 0.55)",0.85,0.8589743589743589,0.8375,0.8481012658227848
0.45,0.05,0.5,"(0.45, 0.05, 0.5)",0.86,0.8654822335025381,0.8525,0.8589420654911839
0.45,0.1,0.45000000000000007,"(0.45, 0.1, 0.45000000000000007)",0.8575,0.8704663212435233,0.84,0.8549618320610687
0.45,0.15000000000000002,0.4,"(0.45, 0.15000000000000002, 0.4)",0.8425,0.8442211055276382,0.84,0.8421052631578947
0.45,0.2,0.35000000000000003,"(0.45, 0.2, 0.35000000000000003)",0.8475,0.8638743455497382,0.825,0.8439897698209717
0.45,0.25,0.30000000000000004,"(0.45, 0.25, 0.30000000000000004)",0.86375,0.8664987405541562,0.86,0.8632371392722711
0.45,0.30000000000000004,0.25,"(0.45, 0.30000000000000004, 0.25)",0.86,0.8809523809523809,0.8325,0.8560411311053985
0.45,0.35000000000000003,0.2,"(0.45, 0.35000000000000003, 0.2)",0.855,0.8622448979591837,0.845,0.8535353535353536
0.45,0.4,0.15000000000000002,"(0.45, 0.4, 0.15000000000000002)",0.855,0.8641025641025641,0.8425,0.8531645569620254
0.45,0.45,0.10000000000000003,"(0.45, 0.45, 0.10000000000000003)",0.855,0.8622448979591837,0.845,0.8535353535353536
0.45,0.5,0.050000000000000044,"(0.45, 0.5, 0.050000000000000044)",0.84,0.8578947368421053,0.815,0.8358974358974358
0.45,0.55,0.0,"(0.45, 0.55, 0.0)",0.8675,0.8868421052631579,0.8425,0.8641025641025641
0.45,0.6000000000000001,-0.050000000000000044,"(0.45, 0.6000000000000001, -0.050000000000000044)",0.85,0.8723404255319149,0.82,0.8453608247422681
0.5,0.0,0.5,"(0.5, 0.0, 0.5)",0.8425,0.8530927835051546,0.8275,0.8401015228426396
0.5,0.05,0.45,"(0.5, 0.05, 0.45)",0.85,0.8571428571428571,0.84,0.8484848484848485
0.5,0.1,0.4,"(0.5, 0.1, 0.4)",0.86125,0.8621553884711779,0.86,0.8610763454317898
0.5,0.15000000000000002,0.35,"(0.5, 0.15000000000000002, 0.35)",0.85,0.8589743589743589,0.8375,0.8481012658227848
0.5,0.2,0.3,"(0.5, 0.2, 0.3)",0.84875,0.8642297650130548,0.8275,0.8454661558109835
0.5,0.25,0.25,"(0.5, 0.25, 0.25)",0.85,0.8553299492385786,0.8425,0.8488664987405541
0.5,0.30000000000000004,0.19999999999999996,"(0.5, 0.30000000000000004, 0.19999999999999996)",0.8625,0.8606965174129353,0.865,0.8628428927680798
0.5,0.35000000000000003,0.14999999999999997,"(0.5, 0.35000000000000003, 0.14999999999999997)",0.86375,0.875968992248062,0.8475,0.8614993646759849
0.5,0.4,0.09999999999999998,"(0.5, 0.4, 0.09999999999999998)",0.85,0.8589743589743589,0.8375,0.8481012658227848
0.5,0.45,0.04999999999999999,"(0.5, 0.45, 0.04999999999999999)",0.855,0.865979381443299,0.84,0.8527918781725888
0.5,0.5,0.0,"(0.5, 0.5, 0.0)",0.85375,0.8675324675324675,0.835,0.8509554140127388
0.55,0.0,0.44999999999999996,"(0.55, 0.0, 0.44999999999999996)",0.84375,0.8516624040920716,0.8325,0.8419721871049306
0.55,0.05,0.39999999999999997,"(0.55, 0.05, 0.39999999999999997)",0.845,0.859375,0.825,0.8418367346938775
0.55,0.1,0.35,"(0.55, 0.1, 0.35)",0.855,0.8604060913705583,0.8475,0.853904282115869
0.55,0.15000000000000002,0.29999999999999993,"(0.55, 0.15000000000000002, 0.29999999999999993)",0.86125,0.8733850129198967,0.845,0.8589580686149936
0.55,0.2,0.24999999999999994,"(0.55, 0.2, 0.24999999999999994)",0.85375,0.8637532133676092,0.84,0.8517110266159695
0.55,0.25,0.19999999999999996,"(0.55, 0.25, 0.19999999999999996)",0.86,0.8673469387755102,0.85,0.8585858585858585
0.55,0.30000000000000004,0.1499999999999999,"(0.55, 0.30000000000000004, 0.1499999999999999)",0.83875,0.8483290488431876,0.825,0.8365019011406843
0.55,0.35000000000000003,0.09999999999999992,"(0.55, 0.35000000000000003, 0.09999999999999992)",0.8625,0.8698979591836735,0.8525,0.8611111111111112
0.55,0.4,0.04999999999999993,"(0.55, 0.4, 0.04999999999999993)",0.8475,0.8696808510638298,0.8175,0.8427835051546391
0.55,0.45,-5.551115123125783e-17,"(0.55, 0.45, -5.551115123125783e-17)",0.86125,0.8676844783715013,0.8525,0.8600252206809585
0.6000000000000001,0.0,0.3999999999999999,"(0.6000000000000001, 0.0, 0.3999999999999999)",0.85875,0.8708010335917312,0.8425,0.8564167725540026
0.6000000000000001,0.05,0.3499999999999999,"(0.6000000000000001, 0.05, 0.3499999999999999)",0.85,0.8608247422680413,0.835,0.8477157360406091
0.6000000000000001,0.1,0.29999999999999993,"(0.6000000000000001, 0.1, 0.29999999999999993)",0.8625,0.8661616161616161,0.8575,0.8618090452261306
0.6000000000000001,0.15000000000000002,0.2499999999999999,"(0.6000000000000001, 0.15000000000000002, 0.2499999999999999)",0.85,0.8664921465968587,0.8275,0.8465473145780051
0.6000000000000001,0.2,0.1999999999999999,"(0.6000000000000001, 0.2, 0.1999999999999999)",0.845,0.859375,0.825,0.8418367346938775
0.6000000000000001,0.25,0.1499999999999999,"(0.6000000000000001, 0.25, 0.1499999999999999)",0.865,0.8743589743589744,0.8525,0.8632911392405064
0.6000000000000001,0.30000000000000004,0.09999999999999987,"(0.6000000000000001, 0.30000000000000004, 0.09999999999999987)",0.8425,0.8549222797927462,0.825,0.8396946564885495
0.6000000000000001,0.35000000000000003,0.04999999999999988,"(0.6000000000000001, 0.35000000000000003, 0.04999999999999988)",0.84875,0.8549618320610687,0.84,0.8474148802017655
0.6000000000000001,0.4,-1.1102230246251565e-16,"(0.6000000000000001, 0.4, -1.1102230246251565e-16)",0.84,0.8715846994535519,0.7975,0.8328981723237598
0.65,0.0,0.35,"(0.65, 0.0, 0.35)",0.8575,0.8723958333333334,0.8375,0.854591836734694
0.65,0.05,0.3,"(0.65, 0.05, 0.3)",0.85625,0.8607594936708861,0.85,0.8553459119496856
0.65,0.1,0.24999999999999997,"(0.65, 0.1, 0.24999999999999997)",0.85125,0.8575063613231552,0.8425,0.8499369482976041
0.65,0.15000000000000002,0.19999999999999996,"(0.65, 0.15000000000000002, 0.19999999999999996)",0.845,0.8556701030927835,0.83,0.8426395939086294
0.65,0.2,0.14999999999999997,"(0.65, 0.2, 0.14999999999999997)",0.855,0.8567839195979899,0.8525,0.8546365914786969
0.65,0.25,0.09999999999999998,"(0.65, 0.25, 0.09999999999999998)",0.8475,0.8582474226804123,0.8325,0.8451776649746192
0.65,0.30000000000000004,0.04999999999999993,"(0.65, 0.30000000000000004, 0.04999999999999993)",0.8525,0.8634020618556701,0.8375,0.850253807106599
